inventory_id,product_id,stock,warehouse_id,last_stock_date
92,191,66,2,15-01-2023
93,548,17,4,27-06-2023
94,801,16,4,19-10-2023
95,766,3,3,08-02-2024
96,611,55,2,07-12-2024
97,501,90,5,19-11-2024
98,534,82,2,16-09-2023
99,304,108,4,19-10-2024
100,444,101,2,11-02-2024
101,60,23,1,26-10-2024
102,385,31,1,08-11-2023
103,134,8,3,14-12-2023
104,459,37,3,20-12-2024
105,827,92,1,10-04-2023
106,601,18,2,15-07-2023
107,794,112,1,25-03-2023
108,140,11,5,21-12-2023
109,792,83,3,27-07-2023
110,455,10,1,15-07-2023
111,186,37,3,06-12-2024
112,544,14,5,16-07-2023
113,656,26,1,22-08-2023
114,777,47,2,03-07-2024
115,847,22,3,27-11-2024
116,48,90,4,23-02-2023
117,681,75,2,20-01-2023
118,193,81,1,04-05-2024
119,215,58,1,14-11-2023
120,500,98,3,30-06-2023
121,176,99,1,28-04-2023
122,20,83,1,07-12-2024
123,584,2,5,02-09-2023
124,241,5,3,14-09-2023
125,714,86,3,03-09-2023
126,275,35,1,10-02-2024
127,426,82,5,09-12-2024
128,805,15,4,04-02-2023
129,463,34,1,13-01-2024
130,35,8,1,07-11-2023
131,36,106,4,19-06-2024
132,60,119,3,04-06-2024
133,826,12,3,05-09-2024
134,86,4,1,30-03-2023
135,712,96,5,20-11-2024
136,647,34,3,10-07-2023
137,825,22,3,18-01-2023
138,84,30,3,01-02-2024
139,43,94,2,20-05-2023
140,706,21,1,03-01-2023
141,158,64,5,29-04-2023
142,71,40,5,27-06-2023
143,150,19,5,16-04-2024
144,232,15,3,10-11-2024
145,522,46,3,13-10-2024
146,816,59,2,17-11-2024
147,703,86,1,29-05-2024
148,523,48,5,18-09-2023
149,515,28,4,02-02-2024
150,384,40,1,03-01-2023
151,172,24,5,21-01-2023
152,829,118,2,29-04-2023
153,299,64,3,21-12-2023
154,282,28,2,14-03-2023
155,493,111,3,30-07-2024
156,770,100,1,23-10-2024
157,130,7,2,23-05-2023
158,678,87,1,14-04-2023
159,460,1,1,14-03-2023
160,485,114,4,31-03-2024
161,125,5,2,26-03-2023
162,372,18,2,11-03-2023
163,477,116,5,20-09-2023
164,571,97,4,09-04-2023
165,119,112,1,22-09-2024
166,512,4,5,20-05-2024
167,840,9,4,13-11-2024
168,543,10,3,10-07-2024
169,518,66,2,31-07-2023
170,80,18,3,18-01-2024
171,322,50,2,31-05-2023
172,583,59,2,19-09-2023
173,243,49,3,19-09-2023
174,471,72,4,13-02-2023
175,495,81,2,16-03-2024
176,342,110,5,01-06-2024
177,227,118,4,22-01-2023
178,378,54,1,01-05-2023
179,292,97,2,13-09-2024
180,408,26,5,27-01-2023
181,267,54,2,16-07-2023
182,159,116,1,11-11-2024
183,112,118,3,18-08-2023
184,800,96,5,09-06-2024
185,37,51,5,24-03-2023
186,810,58,3,11-04-2024
187,58,77,5,10-11-2023
188,271,93,4,23-02-2023
189,686,23,5,20-04-2024
190,48,34,1,10-07-2023
191,79,84,5,16-03-2023
192,673,39,4,16-12-2023
193,358,84,1,27-01-2024
194,284,51,2,16-06-2024
195,452,120,3,10-04-2023
196,291,17,3,27-03-2024
197,362,54,5,20-10-2024
198,661,78,5,16-02-2024
199,398,71,4,23-03-2024
200,33,43,3,15-06-2024
201,692,119,2,19-01-2024
202,118,116,2,11-03-2024
203,293,87,5,06-03-2024
204,730,41,2,14-07-2023
205,591,59,3,27-04-2023
206,721,38,2,24-02-2024
207,716,8,2,02-01-2023
208,533,56,3,29-11-2023
209,252,60,3,22-06-2024
210,110,116,2,30-03-2023
211,763,29,4,02-02-2023
212,838,62,1,07-02-2024
213,841,113,5,14-02-2023
214,138,73,5,11-01-2023
215,169,63,1,29-09-2023
216,757,20,1,20-04-2024
217,360,10,1,08-09-2024
218,737,93,2,02-03-2023
219,52,21,1,09-08-2024
220,327,49,2,26-03-2024
221,363,109,5,14-10-2023
222,376,88,3,27-11-2024
223,407,25,4,15-07-2024
224,806,66,4,07-02-2023
225,214,28,4,20-10-2023
226,301,38,5,16-03-2023
227,55,87,4,02-07-2023
228,28,42,5,14-09-2024
229,196,51,4,26-11-2023
230,561,56,3,23-10-2024
231,312,58,4,21-07-2024
232,98,31,2,13-03-2023
233,103,112,4,27-09-2024
234,751,13,1,08-11-2024
235,100,46,4,26-06-2023
236,165,46,1,01-11-2024
237,251,8,1,17-01-2023
238,122,68,1,16-04-2023
239,81,37,1,05-11-2023
240,489,12,3,13-04-2023
241,246,107,4,20-01-2024
242,553,29,5,23-12-2024
243,193,112,1,24-02-2024
244,73,79,4,24-09-2023
245,325,15,2,05-10-2023
246,685,8,4,28-03-2024
247,641,75,1,01-10-2024
248,373,64,3,30-08-2024
249,213,27,3,30-10-2024
250,92,97,4,22-01-2023
251,135,25,4,02-04-2024
252,14,65,3,30-03-2023
253,831,65,4,20-09-2023
254,161,27,1,17-03-2023
255,329,99,2,22-01-2023
256,661,100,2,04-10-2024
257,687,11,1,18-08-2023
258,286,25,1,07-03-2024
259,277,72,5,31-01-2024
260,806,103,1,22-08-2023
261,173,30,3,22-10-2024
262,585,83,3,26-01-2023
263,40,67,5,20-01-2023
264,276,30,4,21-04-2023
265,845,61,2,27-05-2024
266,393,55,4,26-05-2023
267,629,0,1,27-02-2023
268,4,111,5,25-01-2024
269,19,48,2,30-09-2024
270,235,61,1,11-04-2023
271,190,38,3,03-06-2024
272,29,93,3,02-03-2023
273,599,83,5,12-09-2023
274,720,45,4,06-07-2023
275,483,57,3,19-08-2024
276,759,4,1,15-01-2023
277,600,58,5,23-04-2024
278,85,21,2,10-10-2024
279,51,28,2,02-11-2023
280,368,3,1,10-01-2023
281,30,29,5,04-12-2024
282,603,113,5,05-06-2023
283,677,6,5,12-01-2024
284,798,120,5,19-11-2024
285,216,73,5,19-11-2023
286,348,91,5,27-06-2023
287,706,85,5,14-05-2024
288,133,113,2,31-08-2023
289,126,93,4,24-06-2023
290,740,64,3,05-04-2023
291,461,33,4,28-01-2024
292,574,18,3,04-11-2023
293,300,117,1,04-07-2024
294,446,50,3,22-10-2023
295,178,42,3,19-08-2023
296,211,3,1,20-12-2024
297,66,40,3,10-12-2024
298,159,8,4,17-04-2024
299,218,99,3,10-09-2024
300,129,21,2,27-09-2023
301,370,111,2,20-02-2023
302,167,59,3,24-11-2023
303,157,95,1,05-05-2023
304,702,55,1,22-10-2024
305,653,116,2,01-11-2023
306,2,79,4,25-08-2024
307,379,112,2,01-03-2024
308,435,81,4,28-02-2023
309,474,29,1,31-05-2023
310,377,58,2,01-12-2024
311,415,60,5,09-09-2024
312,242,95,4,20-11-2024
313,813,87,2,21-01-2024
314,347,17,4,14-05-2024
315,596,46,4,22-02-2024
316,277,86,2,16-05-2024
317,16,64,5,28-06-2024
318,665,95,5,24-11-2024
319,629,49,1,15-10-2024
320,453,25,2,25-01-2023
321,423,85,2,16-10-2024
322,45,71,5,15-06-2024
323,182,8,5,14-05-2024
324,822,53,5,02-11-2024
325,418,58,1,06-11-2023
326,831,75,3,26-03-2023
327,590,69,5,02-07-2023
328,272,88,5,19-05-2024
329,56,14,2,09-06-2024
330,313,26,4,02-11-2023
331,558,30,1,05-05-2023
332,466,102,3,09-02-2023
333,514,95,3,04-03-2024
334,128,1,4,09-08-2024
335,630,42,4,07-05-2023
336,577,87,3,28-12-2023
337,18,81,2,20-03-2023
338,637,1,5,21-04-2024
339,642,79,5,27-06-2024
340,525,65,3,09-08-2023
341,382,95,5,21-11-2023
342,655,105,5,30-10-2023
343,729,32,5,27-11-2023
344,754,85,5,02-05-2023
345,652,26,5,22-09-2023
346,715,15,1,17-03-2024
347,193,42,1,01-05-2023
348,202,6,3,29-08-2023
349,611,96,1,14-09-2023
350,350,54,4,02-01-2023
351,663,116,3,23-06-2023
352,842,29,3,25-06-2023
353,724,27,2,27-08-2023
354,732,77,3,05-09-2024
355,11,107,5,12-12-2023
356,422,119,3,30-12-2024
357,258,65,3,25-02-2023
358,10,11,5,08-09-2023
359,824,73,2,16-09-2023
360,279,45,1,22-08-2024
361,649,65,1,16-06-2023
362,456,7,3,12-07-2024
363,144,46,1,08-11-2024
364,54,45,2,07-11-2023
365,257,113,5,06-07-2023
366,529,24,4,02-04-2023
367,15,53,4,21-01-2023
368,23,46,1,02-03-2023
369,787,95,4,19-06-2023
370,638,13,3,30-08-2024
371,738,40,4,19-07-2024
372,602,52,3,04-04-2024
373,818,66,3,31-07-2024
374,184,32,4,25-03-2024
375,279,48,1,10-03-2023
376,316,35,5,18-08-2024
377,158,13,3,05-10-2023
378,260,113,1,09-03-2024
379,575,7,5,15-01-2023
380,734,26,2,02-10-2023
381,269,63,1,08-11-2023
382,563,34,3,20-01-2023
383,546,77,2,02-08-2024
384,47,99,4,27-09-2023
385,62,36,3,07-10-2024
386,434,30,4,25-11-2024
387,399,45,4,27-12-2024
388,433,64,3,09-02-2024
389,41,90,2,19-05-2024
390,637,101,4,09-05-2023
391,270,98,1,28-04-2024
392,567,64,3,18-03-2024
393,844,43,5,30-10-2023
394,385,77,3,19-08-2023
395,837,107,4,15-10-2024
396,363,16,3,29-05-2023
397,106,107,1,05-01-2023
398,508,26,4,22-05-2023
399,778,13,1,15-11-2024
400,545,51,1,13-07-2023
401,549,30,1,07-07-2023
402,595,70,3,05-11-2023
403,775,48,4,15-12-2024
404,623,110,2,21-06-2023
405,411,91,2,30-12-2023
406,21,118,4,30-10-2023
407,63,80,3,22-02-2023
408,313,21,4,08-11-2024
409,156,39,5,17-05-2023
410,458,119,3,21-07-2023
411,481,66,5,04-12-2024
412,354,115,2,22-12-2023
413,609,12,3,21-05-2024
414,728,28,2,25-06-2023
415,179,57,3,29-04-2024
416,445,68,4,14-01-2024
417,843,113,4,22-08-2024
418,416,60,1,12-05-2023
419,468,5,2,09-09-2023
420,340,4,4,08-07-2024
421,249,74,2,07-07-2024
422,340,68,3,02-11-2023
423,392,61,1,11-04-2023
424,294,56,3,16-09-2024
425,817,77,1,05-11-2024
426,305,79,2,14-10-2023
427,142,42,1,24-01-2024
428,573,28,1,02-02-2024
429,624,3,1,20-04-2024
430,151,12,1,20-02-2024
431,79,73,1,22-01-2023
432,77,87,5,13-09-2023
433,267,105,2,17-04-2024
434,260,97,4,06-12-2024
435,462,67,3,15-11-2023
436,283,40,1,02-11-2023
437,351,57,1,25-11-2024
438,219,54,2,24-03-2024
439,833,44,3,30-03-2024
440,413,99,1,21-02-2023
441,64,118,5,02-12-2023
442,149,44,4,10-10-2023
443,167,38,1,11-05-2023
444,832,10,2,24-10-2023
445,318,49,4,20-01-2023
446,803,91,5,19-12-2024
447,773,21,5,27-02-2023
448,797,48,2,31-07-2024
449,569,32,3,25-09-2024
450,127,23,2,05-02-2023
451,648,94,3,22-04-2023
452,177,94,1,26-04-2024
453,441,42,4,27-09-2023
454,82,116,2,28-09-2023
455,151,116,1,17-06-2023
456,625,79,4,20-08-2024
457,266,111,5,12-02-2024
458,804,50,3,29-12-2024
459,416,88,3,16-02-2024
460,320,120,4,14-03-2023
461,208,104,2,28-09-2023
462,635,44,5,24-07-2024
463,576,76,4,28-04-2024
464,631,33,4,13-12-2023
465,643,32,2,12-12-2023
466,697,84,4,31-10-2023
467,478,21,4,26-09-2024
468,788,97,3,24-02-2023
469,796,93,3,25-06-2023
470,556,85,2,03-02-2024
471,736,38,3,06-09-2024
472,507,56,5,14-01-2024
473,550,73,1,11-06-2023
474,812,113,2,25-08-2024
475,112,113,4,28-12-2023
476,591,56,4,01-12-2024
477,86,116,2,04-12-2024
478,725,120,1,10-10-2023
479,366,114,1,03-10-2024
480,591,94,2,24-05-2024
481,363,56,1,17-04-2023
482,374,48,2,28-03-2024
483,505,39,4,16-06-2023
484,228,117,2,30-05-2023
485,44,54,4,12-05-2023
486,135,5,2,01-04-2023
487,370,94,4,05-09-2024
488,834,61,1,14-02-2024
489,641,56,3,21-05-2024
490,520,114,4,25-08-2024
491,183,19,1,19-01-2024
492,241,33,1,18-02-2024
493,807,64,5,08-02-2024
494,585,71,2,03-09-2024
495,107,74,5,10-03-2023
496,486,32,2,05-04-2024
497,121,59,4,20-07-2023
498,802,98,2,12-01-2024
499,222,81,2,25-04-2023
500,42,12,1,24-12-2023
501,506,84,2,25-12-2024
502,381,106,4,06-01-2023
503,464,73,2,03-04-2024
504,93,76,2,05-12-2023
505,610,0,3,01-09-2023
506,532,7,4,17-05-2023
507,606,75,3,12-07-2024
508,355,32,1,26-04-2023
509,17,101,4,09-04-2024
510,341,30,5,19-08-2024
511,20,119,3,10-04-2024
512,260,65,1,28-04-2024
513,418,29,2,01-07-2023
514,689,78,3,23-02-2024
515,597,10,5,24-01-2023
516,264,83,1,03-04-2023
517,349,0,3,17-03-2024
518,304,51,3,12-06-2024
519,383,100,1,11-11-2023
520,403,40,1,18-07-2023
521,83,29,4,29-08-2023
522,504,98,2,03-10-2023
523,718,31,1,20-06-2024
524,194,108,5,21-04-2024
525,119,0,4,29-04-2024
526,654,42,1,11-08-2024
527,290,3,5,11-02-2024
528,380,97,5,18-06-2024
529,249,81,3,14-04-2023
530,163,120,4,07-02-2023
531,709,105,2,14-04-2024
532,454,31,4,14-09-2024
533,523,59,4,26-11-2024
534,826,86,5,20-04-2023
535,743,19,1,08-07-2024
536,527,14,1,25-08-2023
537,752,108,4,28-12-2023
538,700,72,5,14-02-2024
539,617,59,1,18-09-2023
540,371,4,2,07-03-2023
541,835,43,2,13-05-2024
542,496,19,2,22-09-2023
543,186,62,5,01-09-2024
544,138,44,4,11-06-2023
545,680,94,3,30-05-2024
546,359,61,5,28-01-2023
547,168,26,2,13-04-2023
548,705,39,2,10-03-2023
549,465,49,4,16-11-2024
550,147,78,5,21-05-2023
551,764,112,1,06-04-2024
552,330,26,2,09-04-2024
553,3,6,5,10-12-2023
554,24,16,1,06-04-2023
555,124,6,3,02-09-2023
556,162,55,2,05-02-2023
557,576,16,4,08-10-2024
558,464,26,3,06-10-2024
559,651,72,2,13-01-2024
560,256,58,5,04-10-2024
561,391,97,2,03-08-2024
562,190,37,4,07-08-2024
563,570,38,3,07-12-2024
564,234,94,1,25-09-2024
565,813,28,2,08-09-2023
566,559,5,1,04-02-2023
567,96,30,5,11-10-2024
568,251,31,1,16-03-2023
569,322,30,1,08-03-2024
570,457,11,1,10-03-2023
571,346,19,5,11-03-2023
572,32,19,5,15-05-2024
573,787,104,1,19-01-2023
574,57,19,1,09-03-2024
575,781,12,2,02-01-2024
576,713,9,4,18-03-2024
577,238,0,3,03-10-2023
578,696,11,2,28-03-2023
579,433,56,5,19-03-2024
580,338,64,1,05-05-2023
581,739,36,5,13-09-2024
582,22,91,1,29-06-2023
583,387,77,1,19-11-2023
584,141,45,4,09-08-2024
585,282,30,3,04-11-2024
586,94,108,2,13-07-2024
587,404,107,4,09-06-2023
588,600,93,4,31-12-2023
589,55,65,3,16-12-2023
590,771,12,2,19-11-2024
591,723,119,3,23-10-2024
592,38,46,3,06-01-2024
593,580,107,2,07-11-2024
594,285,20,2,14-11-2023
595,676,1,2,22-11-2024
596,443,37,1,06-09-2024
597,104,15,2,22-07-2023
598,357,51,1,20-12-2023
599,335,63,5,23-09-2024
600,297,65,4,14-10-2023
601,760,34,1,13-12-2024
602,416,48,4,29-03-2024
603,266,76,5,23-08-2023
604,663,117,2,21-01-2024
605,768,16,3,12-07-2024
606,250,4,1,19-08-2023
607,711,116,2,07-05-2024
608,358,100,5,17-06-2023
609,557,88,3,08-07-2023
610,843,46,3,04-05-2024
611,392,87,5,28-07-2023
612,633,96,2,07-01-2024
613,683,54,1,28-03-2023
614,189,22,4,13-10-2024
615,350,59,4,11-08-2024
616,288,74,5,09-12-2024
617,761,108,3,28-05-2023
618,489,78,2,08-02-2024
619,325,118,3,29-03-2024
620,846,115,4,05-06-2024
621,505,112,3,09-06-2024
622,418,32,1,13-04-2023
623,224,108,4,07-04-2024
624,765,13,4,15-01-2024
625,779,106,2,25-12-2024
626,803,97,5,04-11-2024
627,502,26,5,23-10-2023
628,598,78,3,06-03-2024
629,74,62,4,24-07-2024
630,225,44,5,27-06-2023
631,711,24,5,16-07-2024
632,704,52,3,01-12-2024
633,65,45,3,01-05-2024
634,90,64,3,04-12-2023
635,155,103,4,19-12-2023
636,672,23,3,28-11-2023
637,133,75,2,20-09-2024
638,804,120,5,09-03-2023
639,267,37,1,20-01-2024
640,236,111,4,08-05-2024
641,109,115,3,04-01-2024
642,551,4,4,17-10-2023
643,120,57,3,21-05-2023
644,593,15,2,08-06-2023
645,812,35,5,10-10-2023
646,814,25,2,10-10-2023
647,608,117,5,12-04-2024
648,67,70,3,27-10-2023
649,684,40,1,01-01-2024
650,114,43,3,19-04-2023
651,519,63,4,01-10-2023
652,313,24,3,23-01-2023
653,816,3,5,31-07-2024
654,303,66,3,01-10-2023
655,69,74,1,09-10-2024
656,132,9,1,08-06-2024
657,634,107,5,17-06-2024
658,616,78,2,10-11-2023
659,75,71,1,08-10-2024
660,432,67,1,10-08-2024
661,619,26,5,15-08-2023
662,581,17,3,22-12-2023
663,116,112,1,08-10-2023
664,292,1,1,27-12-2024
665,651,41,1,04-02-2023
666,571,90,3,25-10-2023
667,780,105,5,19-01-2023
668,263,100,5,02-09-2024
669,324,14,2,12-03-2023
670,309,17,3,09-09-2024
671,711,60,5,19-07-2024
672,762,67,5,09-01-2024
673,746,109,5,17-12-2024
674,200,41,2,23-12-2024
675,562,104,5,15-01-2024
676,180,77,3,05-12-2024
677,8,48,1,19-05-2024
678,186,49,1,24-11-2024
679,224,102,4,15-08-2024
680,532,116,4,13-11-2024
681,662,102,2,18-07-2023
682,449,17,5,18-02-2024
683,517,33,4,22-08-2024
684,533,105,2,03-10-2024
685,123,68,5,22-04-2024
686,537,26,5,30-10-2024
687,116,1,1,13-08-2023
688,239,44,4,26-02-2023
689,660,118,5,05-05-2023
690,232,13,5,26-11-2023
691,124,72,4,05-12-2023
692,655,111,2,21-10-2023
693,8,52,2,09-11-2024
694,335,72,3,01-04-2024
695,565,67,4,02-04-2023
696,566,74,3,24-03-2024
697,64,31,4,28-03-2023
698,7,31,2,03-11-2024
699,612,82,3,17-10-2023
700,401,57,5,27-11-2024
701,666,11,3,24-09-2023
702,387,109,2,24-07-2024
703,166,96,5,02-09-2023
704,328,23,2,15-05-2023
705,426,90,2,05-09-2024
706,775,49,4,13-02-2024
707,799,63,2,25-03-2024
708,53,38,2,04-11-2024
709,499,48,5,13-08-2024
710,353,8,3,28-10-2024
711,229,87,1,31-07-2023
712,160,99,2,09-07-2023
713,399,107,5,26-10-2023
714,568,39,3,11-11-2024
715,820,90,4,28-01-2024
716,495,117,3,22-07-2024
717,410,2,2,18-03-2023
718,106,13,3,28-07-2023
719,381,18,1,01-11-2023
720,524,120,4,29-12-2023
721,192,99,1,21-12-2023
722,742,36,5,17-05-2024
723,65,44,3,18-10-2024
724,272,49,3,19-02-2024
725,645,17,4,06-03-2023
726,284,60,3,12-12-2023
727,412,109,4,14-04-2024
728,450,34,3,27-10-2024
729,115,0,2,07-05-2023
730,39,35,3,01-10-2024
731,119,12,3,10-09-2023
732,408,49,5,07-01-2024
733,234,25,2,08-11-2024
734,670,38,3,16-10-2023
735,692,89,2,16-12-2024
736,754,22,4,11-08-2024
737,181,75,4,09-10-2023
738,621,77,5,28-06-2023
739,427,74,2,26-03-2023
740,333,11,2,08-04-2023
741,598,83,2,05-03-2024
742,352,2,5,08-10-2023
743,667,40,2,02-12-2023
744,473,17,3,02-03-2024
745,474,111,1,18-04-2024
746,451,69,5,15-06-2024
747,668,27,4,31-01-2024
748,261,89,5,19-02-2024
749,282,53,2,28-03-2023
750,664,50,3,15-02-2024
751,640,72,2,06-07-2024
752,340,57,4,11-03-2023
753,516,21,2,23-11-2024
754,422,119,1,29-01-2024
755,382,69,2,23-08-2023
756,419,74,1,30-10-2023
757,696,41,5,05-09-2023
758,479,65,3,03-03-2024
759,147,67,1,02-10-2023
760,615,112,1,15-01-2024
761,237,18,3,21-08-2024
762,577,48,4,18-02-2023
763,767,44,4,17-03-2023
764,384,100,3,15-09-2023
765,78,113,5,26-10-2023
766,121,106,5,17-07-2023
767,251,14,1,03-11-2024
768,370,61,1,15-04-2024
769,769,31,5,12-10-2024
770,82,82,4,02-12-2024
771,13,16,1,31-07-2024
772,830,78,3,10-12-2024
773,389,62,5,20-11-2023
774,430,48,5,01-11-2024
775,314,28,4,19-01-2023
776,708,69,3,29-04-2024
777,750,64,1,21-09-2024
778,148,103,2,29-10-2023
779,797,81,1,07-10-2024
780,455,77,3,08-09-2024
781,604,100,3,02-12-2024
782,255,79,2,25-12-2024
783,828,40,1,26-06-2024
784,59,58,4,24-05-2024
785,259,67,5,02-12-2024
786,801,98,1,25-06-2024
787,771,75,3,20-07-2024
788,297,86,2,04-03-2024
789,836,25,1,19-03-2023
790,87,90,4,19-08-2023
791,221,9,5,09-01-2024
792,694,51,4,18-12-2023
793,336,66,2,07-08-2023
794,790,99,4,06-05-2023
795,679,1,5,03-10-2024
796,263,67,5,25-12-2024
797,789,9,2,13-09-2023
798,717,40,4,13-04-2023
799,89,79,4,08-03-2024
800,601,44,5,10-09-2024
801,113,81,1,28-06-2024
802,599,72,5,18-07-2023
803,476,81,1,17-05-2023
804,1,115,2,18-02-2023
805,162,62,4,26-11-2023
806,308,55,4,09-05-2024
807,142,19,1,18-08-2023
808,339,109,3,12-06-2023
809,580,45,5,29-06-2023
810,586,65,4,21-08-2023
811,323,70,1,17-04-2024
812,373,3,4,02-12-2024
813,541,90,2,27-05-2023
814,687,11,3,16-09-2023
815,722,65,1,28-01-2024
816,191,53,4,18-07-2024
817,102,96,4,13-11-2023
818,237,83,3,04-04-2023
819,680,35,1,10-03-2023
820,557,115,5,30-07-2024
821,140,64,3,16-07-2023
822,270,40,2,08-08-2023
823,405,73,3,03-03-2024
824,307,120,3,07-04-2024
825,552,97,4,02-02-2023
826,470,3,3,28-09-2023
827,836,100,1,04-06-2024
828,177,42,1,27-02-2023
829,293,49,4,20-12-2023
830,50,108,4,10-12-2024
831,164,92,4,01-07-2023
832,60,29,4,12-01-2023
833,588,32,5,17-03-2023
834,438,59,4,02-12-2023
835,174,64,1,22-11-2023
836,239,12,5,25-08-2024
837,345,65,1,27-12-2023
838,287,34,3,01-05-2024
839,510,37,4,09-02-2023
840,316,60,5,09-11-2023
841,47,97,5,13-09-2024
842,607,99,5,05-09-2024
843,332,61,5,10-04-2023
844,314,120,1,06-10-2023
845,97,110,2,02-04-2023
846,784,17,4,31-01-2023
847,643,75,3,07-05-2023
848,334,73,3,05-09-2023
849,631,1,5,10-08-2023
850,787,64,1,25-01-2024
851,741,69,4,03-12-2023
852,303,100,1,03-02-2024
853,27,74,3,12-07-2023
854,337,70,1,07-09-2023
855,482,40,5,25-04-2023
856,823,42,1,28-07-2023
857,775,105,1,04-01-2024
858,521,10,3,26-12-2024
859,541,98,5,23-07-2023
860,785,56,5,01-06-2023
861,600,38,4,09-08-2024
862,462,63,3,02-02-2023
863,10,88,3,13-12-2024
864,701,32,2,22-09-2023
865,547,15,5,10-09-2024
866,805,26,3,31-05-2024
867,289,9,3,07-05-2023
868,365,46,4,01-03-2024
869,459,3,1,05-04-2024
870,326,28,3,03-06-2023
871,293,28,4,05-10-2023
872,536,71,2,04-05-2024
873,753,84,5,09-11-2024
874,497,14,4,30-09-2024
875,233,66,5,24-03-2024
876,199,18,4,04-08-2024
877,310,104,2,07-07-2024
878,622,106,5,25-01-2023
879,262,99,3,27-06-2024
880,5,13,2,18-09-2023
881,747,109,3,13-05-2024
882,167,113,4,24-08-2024
883,494,37,5,20-01-2023
884,5,31,4,10-05-2023
885,536,63,3,27-07-2024
886,821,79,3,04-02-2024
887,420,11,2,05-09-2023
888,609,13,2,05-10-2023
889,139,60,2,19-03-2024
890,402,68,4,09-08-2024
891,156,100,4,04-04-2023
892,239,84,2,26-10-2024
893,596,38,2,28-04-2024
894,131,50,4,30-08-2023
895,367,65,5,15-09-2023
896,208,2,3,14-05-2023
897,400,56,3,20-08-2023
898,57,11,4,27-05-2024
899,311,46,1,03-09-2024
900,83,37,3,19-09-2023
901,550,6,3,30-04-2023
902,201,79,2,05-06-2023
903,724,35,2,16-11-2024
904,614,18,3,30-12-2023
905,9,101,2,27-02-2024
906,483,119,1,01-10-2023
907,89,46,1,04-06-2023
908,493,44,2,11-09-2024
909,447,42,3,19-10-2023
910,431,40,5,28-08-2023
911,574,24,5,29-05-2023
912,421,17,5,06-11-2024
913,508,42,1,25-05-2024
914,488,107,2,20-06-2023
915,818,15,5,17-06-2023
916,835,70,1,26-04-2023
917,343,58,2,30-12-2024
918,620,101,5,21-04-2024
919,464,63,1,02-02-2023
920,805,8,4,07-11-2023
921,810,96,1,20-04-2023
922,8,77,4,14-02-2024
923,742,58,2,14-05-2023
924,187,25,4,24-05-2024
925,59,116,3,09-03-2023
926,656,55,4,30-06-2024
927,707,116,3,29-09-2024
928,410,35,1,19-10-2023
929,420,102,4,01-09-2023
