shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
131,17126,06-10-2020,,fedex,Cancelled
132,54108,06-09-2020,,bluedart,Delivered
133,91467,18-04-2020,,ups,Delivered
134,56659,16-01-2024,02-02-2024,fedex,Returned
135,27248,09-03-2023,,ups,Delivered
136,14779,02-02-2024,,fedex,Cancelled
137,87799,25-03-2022,,bluedart,In Transit
138,96233,26-11-2021,,fedex,Shipped
139,85577,14-11-2020,,fedex,Delivered
140,29917,15-11-2024,,dhl,Delivered
141,47634,01-01-2024,,fedex,Delivered
142,91958,13-07-2022,,fedex,Cancelled
143,18388,03-08-2022,,dhl,Delivered
144,25378,13-01-2020,,bluedart,Delivered
145,75684,11-08-2024,,fedex,Delivered
146,18918,19-08-2021,,fedex,Delivered
147,97932,09-10-2021,,fedex,Delivered
148,60085,15-07-2021,,usps,Delivered
149,85666,02-03-2020,,fedex,Delivered
150,7708,06-07-2023,,dhl,Shipped
151,74768,13-09-2022,,fedex,Delivered
152,89969,19-02-2020,,bluedart,In Transit
153,84694,13-04-2022,22-04-2022,bluedart,Returned
154,71444,10-11-2024,,fedex,Cancelled
155,86425,07-07-2020,01-08-2020,fedex,Returned
156,73175,24-12-2020,,dhl,In Transit
157,86606,21-07-2024,,bluedart,Delivered
158,30997,06-04-2020,,bluedart,Delivered
159,7190,04-03-2021,,fedex,Delivered
160,53863,13-09-2020,,fedex,Shipped
161,2110,07-12-2022,,dhl,Delivered
162,95124,01-02-2020,,dhl,Delivered
163,6432,13-11-2022,,fedex,Delivered
164,74013,12-05-2021,,fedex,In Transit
165,19156,18-01-2021,,fedex,Delivered
166,40882,08-09-2020,14-09-2020,fedex,Returned
167,28263,09-11-2021,,ups,Delivered
168,10439,26-07-2021,08-08-2021,bluedart,Returned
169,2143,24-04-2024,,fedex,Shipped
170,63491,17-06-2020,,fedex,Delivered
171,79415,19-03-2023,07-04-2023,dhl,Returned
172,47538,09-10-2024,,fedex,Delivered
173,93283,07-03-2021,,usps,Shipped
174,21314,06-02-2021,,fedex,Delivered
175,8132,04-12-2021,,delhivery,In Transit
176,67937,03-09-2023,,fedex,Delivered
177,68543,08-04-2022,,bluedart,Delivered
178,18659,12-10-2023,,dhl,Delivered
179,91643,12-02-2022,,fedex,Delivered
180,44815,09-05-2022,,fedex,Delivered
181,38076,20-08-2022,,usps,Delivered
182,16995,01-02-2022,,ups,Delivered
183,81806,21-01-2020,09-02-2020,bluedart,Returned
184,18445,12-05-2024,,fedex,Delivered
185,99198,09-08-2021,,dhl,Delivered
186,65807,29-01-2024,,fedex,In Transit
187,13399,29-07-2022,,dhl,Delivered
188,46657,09-07-2021,,bluedart,Delivered
189,40623,17-04-2024,,ups,Delivered
190,38316,14-05-2020,,bluedart,Delivered
191,10365,11-05-2023,,ups,Delivered
192,85790,24-03-2020,,fedex,Delivered
193,38992,13-06-2021,,fedex,Delivered
194,40811,13-10-2023,,delhivery,Delivered
195,97148,20-04-2023,,fedex,Delivered
196,37634,11-12-2022,,bluedart,Delivered
197,95126,25-09-2023,,ups,Delivered
198,6225,02-02-2023,,dhl,Delivered
199,29688,28-06-2020,,fedex,Cancelled
200,3050,05-10-2022,,ups,Delivered
201,39999,15-01-2022,,fedex,Shipped
202,11314,27-03-2020,,dhl,Delivered
203,87962,13-02-2024,,fedex,Delivered
204,78303,04-12-2020,,dhl,Delivered
205,98185,01-04-2023,,usps,Delivered
206,78581,23-02-2021,,fedex,Delivered
207,76852,14-03-2023,,usps,Delivered
208,12176,11-04-2022,,fedex,In Transit
209,96389,03-07-2024,31-07-2024,fedex,Returned
210,97436,08-11-2022,,ups,Delivered
211,90794,31-05-2020,,fedex,Delivered
212,3727,12-05-2022,,fedex,Delivered
213,17376,11-01-2020,,fedex,Delivered
214,50930,29-11-2020,,bluedart,Cancelled
215,74814,04-08-2022,,fedex,Delivered
216,11149,22-05-2020,,ups,Delivered
217,4850,19-03-2022,,bluedart,Delivered
218,12626,01-11-2022,,ups,In Transit
219,73832,29-12-2024,,dhl,Delivered
220,92024,10-08-2021,,fedex,Delivered
221,30622,14-12-2023,,dhl,In Transit
222,91723,17-01-2021,,ups,Shipped
223,39196,22-12-2024,,dhl,Delivered
224,98919,01-01-2021,,fedex,Delivered
225,7528,31-05-2020,,dhl,In Transit
226,39277,02-03-2021,,usps,Delivered
227,78161,16-01-2023,,fedex,Shipped
228,67139,31-07-2023,,fedex,Delivered
229,13531,12-12-2022,,fedex,Delivered
230,11118,16-01-2021,,ups,Delivered
231,44016,20-05-2020,,dhl,Delivered
232,30849,15-11-2024,,bluedart,Delivered
233,32644,16-12-2021,,ups,Shipped
234,87236,10-12-2024,,ups,Shipped
235,27350,15-01-2023,,delhivery,Delivered
236,20386,04-10-2022,23-10-2022,ups,Returned
237,22653,06-05-2021,13-05-2021,usps,Returned
238,50033,20-04-2021,,bluedart,Delivered
239,10003,02-07-2024,22-07-2024,bluedart,Returned
240,71968,25-07-2023,,dhl,Delivered
241,9834,18-08-2021,,fedex,Delivered
242,3832,24-10-2021,,bluedart,Delivered
243,80891,04-06-2020,,dhl,Cancelled
244,18942,20-06-2020,,ups,Shipped
245,85674,29-05-2023,,fedex,Shipped
246,42713,15-07-2021,,fedex,Delivered
247,30975,25-03-2021,,dhl,Delivered
248,88713,18-07-2020,,dhl,Cancelled
249,52226,24-05-2024,,dhl,Delivered
250,67395,01-06-2020,,ups,Delivered
251,85789,02-06-2022,07-06-2022,fedex,Returned
252,18874,18-04-2020,,dhl,Cancelled
253,83174,29-01-2023,,fedex,Delivered
254,26212,26-04-2021,,dhl,Delivered
255,84660,01-01-2024,,ups,Delivered
256,10311,11-11-2021,,dhl,Delivered
257,35711,21-08-2021,,ups,Delivered
258,40649,23-05-2024,,bluedart,Delivered
259,95876,02-04-2023,,fedex,Delivered
260,73536,24-02-2023,,fedex,Delivered
261,9386,17-08-2022,,fedex,Delivered
262,84837,04-10-2021,,dhl,Delivered
263,28501,06-10-2020,,usps,Delivered
264,73001,19-07-2023,,fedex,Delivered
265,95860,08-06-2024,,fedex,Cancelled
266,39152,20-09-2024,,usps,Delivered
267,62575,04-09-2020,20-09-2020,delhivery,Returned
268,21455,29-08-2023,,dhl,Delivered
269,91971,23-07-2021,,bluedart,Delivered
270,56422,05-09-2024,,fedex,Delivered
271,2374,20-04-2021,,fedex,Delivered
272,75207,19-01-2022,,ups,Shipped
273,67408,12-02-2024,,fedex,Delivered
274,1190,19-01-2022,,ups,Shipped
275,48862,31-10-2021,,delhivery,Delivered
276,25792,19-11-2022,,bluedart,Delivered
277,52432,06-09-2020,,delhivery,Cancelled
278,22273,28-10-2023,,fedex,In Transit
279,77236,03-12-2020,,usps,Delivered
280,68964,09-08-2020,,dhl,Delivered
281,22481,19-11-2024,,fedex,Delivered
282,44633,16-12-2021,,dhl,Delivered
283,25083,01-11-2023,,fedex,Delivered
284,46971,14-12-2023,,usps,Delivered
285,22436,09-08-2020,,bluedart,Delivered
286,5178,12-03-2024,,bluedart,Delivered
287,47023,10-08-2023,,bluedart,Delivered
288,7219,04-05-2022,,ups,Shipped
289,89705,14-01-2024,,fedex,Delivered
290,6597,09-12-2023,,fedex,Cancelled
291,30633,26-09-2021,,fedex,Shipped
292,59433,27-08-2024,,fedex,Delivered
293,63396,17-05-2024,,fedex,Delivered
294,95890,17-10-2020,,fedex,Delivered
295,82167,22-09-2022,,fedex,Delivered
296,71456,25-03-2023,,fedex,Delivered
297,50847,27-01-2020,,delhivery,Delivered
298,84011,30-12-2021,,ups,Delivered
299,84473,14-10-2022,,bluedart,Delivered
300,13478,14-06-2022,,bluedart,Delivered
301,23726,19-02-2024,,dhl,Delivered
302,34242,16-09-2024,,fedex,Delivered
303,55570,25-02-2020,,fedex,Delivered
304,42754,27-04-2021,,bluedart,Delivered
305,64123,10-08-2023,,fedex,Delivered
306,48737,26-10-2023,,dhl,Shipped
307,32373,06-08-2023,,bluedart,Delivered
308,46841,09-07-2022,,fedex,Delivered
309,52915,01-04-2021,,dhl,Delivered
310,61009,29-09-2022,,dhl,Delivered
311,9213,24-11-2023,,bluedart,Delivered
312,92215,17-12-2020,,dhl,Delivered
313,91544,05-03-2024,,fedex,Delivered
314,60464,11-10-2022,,fedex,Delivered
315,42078,27-09-2022,,usps,Delivered
316,10101,03-01-2023,,dhl,Delivered
317,93461,29-11-2024,,ups,Delivered
318,68272,24-02-2023,,dhl,Delivered
319,85688,06-07-2022,,fedex,Delivered
320,51524,02-09-2020,,delhivery,Cancelled
321,93782,13-01-2020,,fedex,Delivered
322,40363,07-04-2022,,fedex,Delivered
323,48890,03-10-2020,,delhivery,Delivered
324,71675,24-04-2024,,fedex,Shipped
325,43661,17-07-2022,,delhivery,Delivered
326,59538,04-05-2023,,dhl,Cancelled
327,34771,19-01-2023,,dhl,Delivered
328,52759,25-04-2020,,fedex,Delivered
329,62605,23-01-2024,,fedex,In Transit
330,45880,08-02-2023,,usps,Delivered
331,89252,13-09-2021,,dhl,Delivered
332,35310,21-12-2023,,fedex,Delivered
333,43332,23-07-2022,,fedex,In Transit
334,38547,25-07-2020,,fedex,Delivered
335,27822,04-06-2023,,ups,Shipped
336,89523,19-06-2021,,fedex,Delivered
337,29444,26-04-2024,,dhl,Delivered
338,34888,20-09-2021,,fedex,Delivered
339,28033,09-08-2023,,ups,Cancelled
340,26729,05-04-2023,,fedex,Delivered
341,73209,15-12-2020,,bluedart,Shipped
342,10219,23-08-2024,,dhl,In Transit
343,35314,30-08-2023,,bluedart,Delivered
344,44872,13-09-2021,,dhl,Delivered
345,38733,10-06-2023,,fedex,Delivered
346,48401,12-11-2020,,fedex,Delivered
347,39891,17-10-2024,,usps,Delivered
348,90018,13-08-2023,,dhl,Delivered
349,37908,02-04-2020,,dhl,Delivered
350,21829,30-06-2020,,dhl,Delivered
351,39001,13-10-2023,,fedex,Delivered
352,61931,21-08-2022,,dhl,Delivered
353,85821,29-07-2022,,dhl,Delivered
354,47989,08-03-2021,,fedex,Delivered
355,4824,07-09-2024,,fedex,Delivered
356,83951,23-05-2024,,dhl,Delivered
357,40499,10-03-2023,,dhl,Delivered
358,94772,18-03-2021,,fedex,Delivered
359,3087,07-11-2020,,bluedart,Shipped
360,47726,29-07-2023,,fedex,Cancelled
361,40378,01-03-2021,,dhl,Shipped
362,22259,25-07-2024,,bluedart,Delivered
363,77313,07-12-2021,,bluedart,Delivered
364,7798,26-02-2021,,bluedart,Delivered
365,38322,21-12-2022,,dhl,Delivered
366,10835,31-05-2023,06-06-2023,fedex,Returned
367,45173,27-10-2020,,fedex,Shipped
368,40048,21-09-2020,,bluedart,Delivered
369,51109,29-01-2020,,fedex,Delivered
370,78591,08-10-2021,14-10-2021,bluedart,Returned
371,66589,21-10-2024,,fedex,In Transit
372,56956,22-04-2024,,delhivery,Delivered
373,3888,26-08-2022,,bluedart,Delivered
374,53394,29-12-2023,,ups,Delivered
375,42889,11-06-2022,,fedex,Shipped
376,68576,05-05-2022,,fedex,Delivered
377,74925,26-07-2024,,fedex,Delivered
378,91202,08-06-2022,,fedex,Delivered
379,49271,10-10-2023,,dhl,Delivered
380,95871,31-01-2022,,bluedart,Delivered
381,20076,09-04-2022,,fedex,Delivered
382,88284,01-05-2024,,dhl,Delivered
383,82087,19-06-2024,,bluedart,Delivered
384,74017,02-06-2020,,ups,Delivered
385,88518,21-08-2021,,dhl,Delivered
386,39275,09-03-2022,,ups,Delivered
387,34718,20-07-2024,,fedex,Delivered
388,70258,05-07-2024,,fedex,Delivered
389,9444,09-10-2024,,fedex,Delivered
390,11967,04-10-2024,,fedex,Delivered
391,32849,29-09-2023,,ups,Delivered
392,97502,03-06-2022,,fedex,Delivered
393,84577,02-10-2024,,dhl,In Transit
394,6596,11-01-2024,,dhl,Delivered
395,84905,28-09-2023,,fedex,Cancelled
396,86569,26-09-2021,,fedex,Delivered
397,52157,18-03-2021,,dhl,In Transit
398,40238,12-07-2020,,delhivery,Delivered
399,92828,06-04-2024,,fedex,Delivered
400,97916,03-01-2025,,dhl,Delivered
401,66769,18-12-2023,,ups,Delivered
402,52423,15-01-2022,,bluedart,Delivered
403,35217,28-01-2023,,fedex,Delivered
404,76885,03-04-2023,18-04-2023,fedex,Returned
405,98472,17-06-2023,,fedex,Delivered
406,16108,22-10-2023,,ups,Delivered
407,58092,13-06-2022,,dhl,Delivered
408,48796,29-07-2024,,delhivery,In Transit
409,1910,19-02-2021,,dhl,Cancelled
410,27177,23-01-2024,,bluedart,Delivered
411,17521,21-01-2021,,fedex,Delivered
412,1276,25-07-2023,,fedex,Delivered
413,21667,21-11-2024,,fedex,Delivered
414,61574,27-01-2020,,fedex,Cancelled
415,65558,01-09-2024,,ups,Delivered
416,69860,23-04-2022,,dhl,Delivered
417,34246,01-05-2022,,fedex,Delivered
418,3594,07-09-2022,29-09-2022,delhivery,Returned
419,22212,10-01-2022,,fedex,Delivered
420,30130,13-12-2021,,ups,Delivered
421,48484,25-11-2024,,fedex,Delivered
422,66072,10-09-2021,,ups,Cancelled
423,20950,15-06-2020,,dhl,Delivered
424,3361,27-12-2020,21-01-2021,bluedart,Returned
425,79764,23-01-2023,,dhl,In Transit
426,33980,05-02-2020,,delhivery,Delivered
427,16932,18-03-2021,,bluedart,Delivered
428,28134,29-10-2022,,fedex,Delivered
429,60168,11-12-2023,,fedex,Delivered
430,88470,03-04-2021,,fedex,Delivered
431,96490,18-11-2023,,bluedart,Delivered
432,61917,02-07-2023,,fedex,Delivered
433,4825,21-06-2021,,delhivery,Delivered
434,56428,10-07-2022,,bluedart,Delivered
435,66772,03-03-2021,,fedex,Delivered
436,73803,19-02-2021,,fedex,Delivered
437,37657,01-03-2021,,fedex,Delivered
438,59511,12-03-2022,,ups,Delivered
439,12163,10-03-2022,20-03-2022,fedex,Returned
440,32135,28-09-2024,,fedex,Delivered
441,25345,03-01-2025,,fedex,Delivered
442,40221,09-10-2021,,fedex,Delivered
443,36033,11-06-2020,25-06-2020,dhl,Returned
444,41116,21-07-2023,05-08-2023,fedex,Returned
445,1489,29-04-2023,,ups,Delivered
446,35108,27-11-2021,,fedex,Cancelled
447,78388,17-07-2020,,fedex,Delivered
448,77648,13-06-2020,,fedex,Delivered
449,14101,11-06-2022,,fedex,Delivered
450,34545,26-09-2023,,fedex,Delivered
451,31357,23-05-2021,,bluedart,In Transit
452,52401,05-11-2022,,fedex,Delivered
453,33629,29-08-2024,,ups,Delivered
454,20003,15-05-2023,,fedex,Delivered
455,73570,18-12-2024,,fedex,In Transit
456,55957,31-01-2022,,ups,Delivered
457,1817,04-08-2022,,bluedart,Delivered
458,75625,17-12-2022,,usps,Delivered
459,62508,08-05-2024,,fedex,Delivered
460,93475,20-02-2024,,dhl,Delivered
461,81626,31-10-2023,,fedex,Delivered
462,89785,31-07-2022,,bluedart,Delivered
463,30980,13-03-2023,,fedex,Delivered
464,28106,29-12-2023,,dhl,Shipped
465,92898,15-09-2023,,fedex,Delivered
466,4764,19-12-2023,,delhivery,Delivered
467,96830,03-11-2021,,bluedart,In Transit
468,77996,09-01-2020,,ups,Delivered
469,14412,22-10-2021,,fedex,Delivered
470,91398,14-03-2024,,usps,Delivered
471,94269,15-09-2024,,dhl,Delivered
472,34737,19-09-2021,,ups,In Transit
473,76779,03-02-2022,,delhivery,Delivered
474,32374,17-02-2021,,fedex,Delivered
475,39267,14-03-2024,,delhivery,Delivered
476,55339,30-04-2020,,fedex,Delivered
477,73154,19-03-2023,,dhl,Delivered
478,43159,17-12-2022,,usps,Delivered
479,71134,17-02-2021,,dhl,Delivered
480,43912,15-01-2022,,fedex,Delivered
481,25504,17-09-2024,,fedex,Delivered
482,6508,27-09-2022,,fedex,Delivered
483,39889,18-09-2020,,fedex,In Transit
484,4703,21-08-2024,,bluedart,Delivered
485,2814,28-08-2021,,delhivery,Delivered
486,57477,18-01-2020,15-02-2020,ups,Returned
487,21648,03-07-2023,,dhl,Delivered
488,89134,17-03-2020,,fedex,Delivered
489,37186,21-11-2021,,dhl,Delivered
490,12145,08-10-2023,,usps,Delivered
491,11374,12-10-2020,,dhl,Delivered
492,22419,01-05-2024,,fedex,Delivered
493,40351,09-01-2024,,fedex,Delivered
494,81611,29-06-2020,,fedex,Delivered
495,32406,05-10-2021,,dhl,Delivered
496,80115,18-09-2024,,fedex,Delivered
497,50674,28-06-2023,,fedex,Delivered
498,91397,11-07-2021,,fedex,Delivered
499,20553,04-07-2022,,usps,Delivered
500,80883,20-05-2021,,bluedart,Delivered
501,85168,08-11-2024,,fedex,Delivered
502,1156,16-03-2020,,fedex,Delivered
503,2037,23-11-2022,,dhl,In Transit
504,17003,25-08-2022,,fedex,Delivered
505,97871,29-03-2022,,fedex,Delivered
506,18387,10-10-2020,,bluedart,Delivered
507,46476,04-01-2020,,bluedart,In Transit
508,27315,23-04-2023,,fedex,Delivered
509,52080,10-03-2022,,dhl,Delivered
510,22073,09-03-2022,,bluedart,Delivered
511,44256,15-10-2023,,ups,Delivered
512,59745,06-06-2020,,fedex,Delivered
513,7592,23-09-2021,,fedex,Delivered
514,79183,13-05-2024,,fedex,Shipped
515,45431,13-12-2021,,bluedart,Delivered
516,37421,17-03-2022,,fedex,Delivered
517,60442,04-02-2023,,fedex,Delivered
518,48798,14-07-2022,,bluedart,Shipped
519,43445,21-04-2024,,fedex,Delivered
520,47143,29-01-2023,,fedex,Delivered
521,83419,04-09-2023,,fedex,Delivered
522,88516,29-04-2023,,bluedart,Delivered
523,12489,31-08-2020,,bluedart,Delivered
524,80087,13-10-2021,,dhl,Delivered
525,11947,13-09-2021,,dhl,Delivered
526,28876,17-05-2020,,bluedart,Delivered
527,90232,02-08-2023,,fedex,Cancelled
528,52978,25-10-2020,,fedex,Delivered
529,53635,23-02-2024,,fedex,Delivered
530,42875,29-03-2022,,fedex,Delivered
531,30000,20-08-2020,,usps,Delivered
532,95528,09-07-2022,,fedex,Delivered
533,12524,22-04-2023,,dhl,Delivered
534,12865,14-11-2024,,dhl,Delivered
535,18956,04-02-2020,,ups,Delivered
536,21719,09-05-2022,,dhl,Delivered
537,84326,29-06-2021,,dhl,In Transit
538,33746,24-12-2023,,ups,Delivered
539,7267,02-08-2023,,fedex,Delivered
540,44695,22-04-2020,,fedex,Delivered
541,58340,18-06-2022,,dhl,Delivered
542,27224,03-08-2022,,ups,Delivered
543,81963,07-07-2022,,delhivery,Delivered
544,77732,19-02-2020,,fedex,Delivered
545,58936,12-09-2023,,fedex,Delivered
546,32041,19-01-2020,,delhivery,Delivered
547,53517,21-04-2022,,dhl,Delivered
548,56840,28-05-2020,,bluedart,Delivered
549,22409,18-08-2021,,fedex,In Transit
550,47854,01-05-2023,,fedex,Delivered
551,35007,11-10-2021,,fedex,Cancelled
552,51635,31-10-2023,,fedex,Delivered
553,54243,30-08-2022,,dhl,Delivered
554,11865,22-10-2023,,fedex,Delivered
555,71707,01-09-2024,,fedex,Delivered
556,45212,08-07-2023,,fedex,Shipped
557,88163,26-08-2024,,bluedart,Delivered
558,83185,13-05-2023,,ups,Shipped
559,35441,29-07-2023,,fedex,Delivered
560,66064,25-01-2023,,usps,Delivered
561,76992,16-12-2020,,usps,Shipped
562,75499,22-11-2021,,fedex,Delivered
563,77585,10-07-2022,,dhl,Cancelled
564,18493,01-09-2020,,usps,Shipped
565,68685,11-11-2020,,bluedart,Delivered
566,46431,17-10-2020,25-10-2020,usps,Returned
567,21516,13-01-2024,,bluedart,Delivered
568,56499,06-02-2023,,fedex,Delivered
569,8447,15-11-2020,13-12-2020,ups,Returned
570,26529,03-02-2023,,fedex,Delivered
571,32633,28-12-2020,,fedex,Delivered
572,79641,25-01-2023,,fedex,Delivered
573,1111,23-02-2021,,fedex,Delivered
574,32510,12-03-2024,,dhl,Delivered
575,75063,08-04-2023,,dhl,Delivered
576,83403,20-03-2021,,fedex,Delivered
577,87878,16-07-2021,,delhivery,Delivered
578,13178,13-10-2020,,dhl,Delivered
579,30983,16-06-2022,,ups,Delivered
580,92279,05-03-2021,,fedex,Delivered
581,48752,03-07-2023,,bluedart,Delivered
582,67189,17-12-2021,,fedex,Delivered
583,98209,08-12-2021,,usps,Delivered
584,52328,22-02-2021,,delhivery,Delivered
585,98137,12-09-2023,,bluedart,Delivered
586,4527,13-12-2020,,fedex,Delivered
587,70540,15-01-2022,,fedex,Delivered
588,29803,22-10-2020,,dhl,Delivered
589,75602,26-07-2020,,bluedart,Delivered
590,36576,24-04-2023,,ups,Delivered
591,23302,18-06-2024,,fedex,Delivered
592,52552,07-02-2022,,fedex,In Transit
593,40248,03-01-2023,,fedex,In Transit
594,33625,08-05-2023,,fedex,Delivered
595,1162,19-04-2022,,dhl,Delivered
596,84528,13-01-2024,,dhl,Delivered
597,19920,25-10-2021,,fedex,Delivered
598,96293,30-05-2020,,dhl,Cancelled
599,41828,21-04-2023,,fedex,Delivered
600,84608,19-12-2021,,fedex,Delivered
601,68496,10-03-2023,,dhl,Delivered
602,96612,26-02-2021,,fedex,Delivered
603,37203,24-05-2020,,fedex,Delivered
604,54482,21-10-2023,,fedex,Delivered
605,24039,04-06-2021,,fedex,Delivered
606,62782,01-05-2022,,fedex,In Transit
607,49725,06-12-2024,,fedex,Delivered
608,51236,15-09-2021,22-09-2021,fedex,Returned
609,53458,13-05-2024,,dhl,Delivered
610,44009,30-09-2024,,delhivery,Delivered
611,48543,22-08-2022,,fedex,Delivered
612,33039,29-07-2024,,fedex,Delivered
613,13423,25-10-2022,,usps,In Transit
614,79216,24-10-2023,,fedex,Delivered
615,99706,03-05-2021,,ups,Delivered
616,1301,17-01-2021,,dhl,Delivered
617,96452,04-05-2023,,usps,Shipped
618,27516,10-05-2021,,bluedart,Delivered
619,56246,24-04-2022,,fedex,In Transit
620,43739,01-11-2022,,fedex,Delivered
621,77869,29-01-2024,,fedex,Delivered
622,45549,11-03-2020,,ups,Shipped
623,93189,25-06-2022,,dhl,Shipped
